HomeTeam,HomeGoals,AwayTeam,AwayGoals
Portugal,1,France,0
Germany,0,France,2
Portugal,2,Wales,0
France,5,Iceland,2
Germany,1,Italy,1
Wales,3,Belgium,1
Poland,1,Portugal,1
England,1,Iceland,2
Italy,2,Spain,0
Hungary,0,Belgium,4
Germany,3,Slovakia,0
France,2,Republic of Ireland,1
Croatia,0,Portugal,1
Wales,1,Northern Ireland,0
Switzerland,1,Poland,1
Sweden,0,Belgium,1
Italy,0,Republic of Ireland,1
Hungary,3,Portugal,3
Iceland,2,Austria,1
Croatia,2,Spain,1
Czech Republic,0,Turkey,2
Northern Ireland,0,Germany,1
Ukraine,0,Poland,1
Slovakia,0,England,0
Russia,0,Wales,3
Switzerland,0,France,0
Romania,0,Albania,1
Portugal,0,Austria,0
Iceland,1,Hungary,1
Belgium,3,Republic of Ireland,0
Spain,3,Turkey,0
Czech Republic,2,Croatia,2
Italy,1,Sweden,0
Germany,0,Poland,0
Ukraine,0,Northern Ireland,2
England,2,Wales,1
France,2,Albania,0
Romania,1,Switzerland,1
Russia,1,Slovakia,2
Portugal,1,Iceland,1
Austria,0,Hungary,2
Belgium,0,Italy,2
Republic of Ireland,1,Sweden,1
Spain,1,Czech Republic,0
Germany,2,Ukraine,0
Poland,1,Northern Ireland,0
Turkey,0,Croatia,1
England,1,Russia,1
Wales,2,Slovakia,1
Albania,0,Switzerland,1
